Year,League,Player,Team,Total Bases
2020,NL,Marcell Ozuna,Atlanta,145
2021,AL,Vladimir Guerrero Jr.,Toronto,363
2021,NL,Trea Turner,Los Angeles,319
2022,AL,Aaron Judge,New York,391
2022,NL,Austin Riley,Atlanta,325
2023,AL,Shohei Ohtani,Los Angeles,325
2023,NL,Ronald Acuña Jr.,Atlanta,383
2024,AL,Aaron Judge,New York,392
2024,NL,Shohei Ohtani,Los Angeles,411
2025,AL,Aaron Judge,New York,198
2025,NL,Shohei Ohtani,Los Angeles,179
Year,AL,American League,Team(s),TB
Year,NL,National League,Team(s),TB
